trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-128.85526199825534,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9950041652780258}",30,0,-141.3148470944265,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9887710779360422}",30,0,-109.14941057374573,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-107.34758869540941,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-104.69934120810905,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.955336489125606}",35,0,-188.24247321250203,"{0: 23, 1: 0, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-141.93998753669,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-149.14291677442125,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-76.02162288366593,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-51.295733878198035,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-89.35509229215204,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8253356149096782}",30,0,-115.50849744080416,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7960837985490558}",25,0,-133.53762524728504,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-19.512215428516036,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7316888688738209}",30,0,-142.2115833967883,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,2,-45.618265677483045,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6599831458849821}",20,0,-18.55129811759911,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-41.04198597740223,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.5816830894638835}",25,0,-98.71226450830741,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.5403023058681397}",35,2,-10.160789412043226,"{0: 28, 1: 3, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.49757104789172696}",30,0,-140.39788095976567,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,0,-19.100135985390775,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.40848744088415717}",30,0,-124.24486693248636,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.3623577544766734}",25,0,-158.26924111802816,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.3153223623952687}",30,14,-12.387782556745282,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.26749882862458735}",30,0,-81.20802391266469,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,0,-49.240210537801666,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,0,-8.065703686114864,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.1205027693673664}",25,0,2.420401073960182,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-52.11091989605216,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.020794827803092428}",25,10,11.573167171136173,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-47.215858492760425,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,16,16.534233533186633,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-27.43409769181393,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,11,23.48525458979672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,-11.334794569218198,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-89.68173244431823,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,15,7.7619048063810645,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,36.32368839284578,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,34.747658839476685,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,22.255718714643233,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
