trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-54.6846875025035,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-147.7636075251421,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-123.80745080610623,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-156.8598564950254,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-178.36417148256007,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-84.89153570093536,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-244.66425947784458,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-93.61872383282433,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-92.01321025168195,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-178.42926425254092,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-204.74677431342448,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",35,0,-128.85461350017178,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-48.622030842871325,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-101.91356217394701,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-62.70959508912094,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-138.17299157064699,"{0: 7, 1: 7, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-181.62566996907285,"{0: 9, 1: 8, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-214.99057260963514,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",35,0,-161.99430771247177,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-76.56916547099509,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-164.81230258233535,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-98.74672917871445,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-164.09668107424707,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-156.34441162659775,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-161.46138106480515,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-178.01682431521527,"{0: 15, 1: 6, 2: 4, 3: 4, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-99.32920651280072,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-126.75100683650024,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-158.27625272872487,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",30,3,-132.5314157442619,"{0: 13, 1: 3, 2: 8, 3: 3, 4: 0}",1
31,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-109.29466561899197,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
