trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.012328515699814,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.61333218877033,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.77288325731534,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.78616652187469,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.9939420359681,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.213227222693604,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.07310375198043,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.46081533500183,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.25653401029075,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.63467511546173,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.33122703721853,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.532474582296544,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,4,-182.4239568754672,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.73717827051698,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-216.38987970635708,"{0: 19, 1: 4, 2: 7, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.4522049896681,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.35272375898212,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.4626738742346,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.616557052520683,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.65996511639061,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.49509234043214,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
